iter	Passed	Remaining
0	244	244228
1	270	134742
2	293	97573
3	320	79822
4	343	68335
5	362	60007
6	388	55176
7	411	51014
8	435	47950
9	452	44796
10	481	43257
11	510	42046
12	532	40403
13	552	38920
14	578	37979
15	604	37183
16	625	36176
17	649	35421
18	682	35256
19	703	34484
20	727	33901
21	750	33365
22	773	32872
23	802	32648
24	820	31995
25	846	31705
26	861	31063
27	890	30905
28	908	30410
29	936	30271
30	960	30016
31	993	30049
32	1026	30091
33	1049	29818
34	1072	29578
35	1094	29316
36	1116	29048
37	1143	28955
38	1166	28734
39	1189	28554
40	1215	28423
41	1242	28331
42	1274	28374
43	1290	28037
44	1312	27854
45	1337	27736
46	1358	27554
47	1377	27328
48	1403	27244
49	1426	27108
50	1444	26876
51	1468	26776
52	1487	26576
53	1513	26522
54	1536	26400
55	1559	26283
56	1579	26127
57	1599	25979
58	1622	25878
59	1643	25755
60	1667	25668
61	1683	25462
62	1698	25259
63	1722	25184
64	1740	25033
65	1756	24852
66	1773	24700
67	1793	24574
68	1818	24539
69	1840	24455
70	1858	24315
71	1880	24241
72	1897	24092
73	1915	23969
74	1939	23916
75	1959	23827
76	1982	23766
77	2003	23682
78	2026	23622
79	2044	23512
80	2063	23408
81	2080	23291
82	2101	23221
83	2124	23170
84	2145	23096
85	2165	23013
86	2183	22918
87	2210	22909
88	2233	22864
89	2254	22791
90	2273	22710
91	2291	22619
92	2313	22565
93	2337	22529
94	2357	22454
95	2373	22352
96	2393	22284
97	2419	22272
98	2437	22184
99	2457	22114
100	2482	22092
101	2497	21985
102	2518	21933
103	2540	21890
104	2558	21811
105	2578	21746
106	2601	21709
107	2626	21691
108	2653	21692
109	2673	21632
110	2692	215611111	2722	21585
112	2747	21570
113	2766	21500
114	2788	21462
115	2808	21405
116	2829	21354
117	2847	212811118	2870	21248
119	2888	211712120	2902	210812121	2926	210512122	2951	210412123	2972	20996
124	2992	20949
125	3021	20956
126	3045	20933
127	3071	20924
128	3095	20898
129	3115	20847
130	3132	20779
131	3154	20744
132	3177	20710
133	3197	20664
134	3219	20627
135	3237	20568
136	3257	20517
137	3278	20481
138	3298	20432
139	3324	20424
140	3342	20362
141	3362	20314
142	3375	20228
143	3396	20191
144	3418	20159
145	3441	20130
146	3458	20066
147	3476	20015
148	3500	199914149	3519	19943
150	3539	199015151	3559	198615152	3581	198215153	3599	197715154	3627	197715155	3644	197115156	3667	196915157	3689	196515158	3705	195915159	3722	195416160	3744	195116161	3768	1949162	3784	19434
16163	3820	1947164	3833	19399
165	3856	19374
166	3879	19349
167	3908	19355
168	3931	19330
169	3951	19294
170	3971	19255
171	3995	19232
172	4017	19203
17173	4048	192117174	4069	191817175	4096	191817176	4120	191617177	4142	19132
178	4159	190717179	4186	19073
180	4201	19009
181	4218	189618182	4237	189218183	4254	188618184	4278	188418185	4296	188018186	4317	187718187	4338	187318188	4360	187118189	4382	186819190	4402	186419191	4422	186119192	4442	185719193	4462	1854194	4468	18446
19195	4500	1845196	4507	18371
197	4533	18361
198	4554	18332
199	4576	18306
200	4592	18256
201	4616	18236
202	4641	18224
203	4662	18194
204	4685	18169
205	4705	18138
206	4731	18124
207	4750	18088
208	4776	18078
209	4799	18056
210	4827	18050
211	4845	18011
212	4868	17988
213	4890	17960
214	4909	17926
215	4931	17898
216	4953	17875
217	4974	17843
218	4992	17805
219	5012	17772
220	5031	17733
221	5049	17696
222	5067	17656
223	5086	17622
224	5113	17614
225	5135	17589
226	5163	17584
227	5189	17572
228	5209	17539
229	5227	17501
230	5246	17464
231	5270	17445
232	5297	17438
233	5317	17405
234	5340	17385
235	5357	17343
236	5371	17294
237	5391	17261
238	5418	17251
239	5446	17246
240	5476	17247
241	5502	17234
242	5529	17225
243	5557	17218
244	5589	17224
245	5616	17214
246	5651	17228
247	5684	17237
248	5720	17254
249	5755	17267
250	5798	17302
251	5848	17361
252	5886	17379
253	5957	17497
254	6003	17540
255	6060	17613
256	6104	17648
257	6156	17705
258	6200	17740
259	6238	17754
260	6281	17785
261	6325	17818
262	6371	17855
263	6428	17921
264	6474	17958
265	6531	18023
266	6584	18076
267	6622	18087
268	6694	18192
269	6777	18323
270	6829	18372
271	6879	18412
272	6935	18469
273	6982	18499
274	7040	18560
275	7086	18588
276	7135	18623
277	7188	18669
278	7254	18748
279	7311	18800
280	7358	18828
281	7418	18889
282	7475	18940
283	7529	18983
284	7583	19025
285	7635	19062
286	7681	19082
287	7733	19119
288	7783	19149
289	7827	19162
290	7875	19187
291	7915	19193
292	7961	19211
29293	8023	1926294	8057	19257
295	8116	19304
296	8179	19361
297	8239	19410
298	8299	19457
299	8340	19460
300	8388	19481
301	8447	19525
302	8485	19519
303	8517	19500
304	8572	19534
305	8614	19537
306	8686	19609
307	8725	19604
308	8773	19620
309	8818	19628
31310	8889	1969311	8927	19686
31312	9015	197831313	9051	1977314	9078	19743
315	9127	19756
316	9171	19759
317	9218	19771
318	9260	19769
31319	9338	198432320	9389	198632321	9439	1987322	9475	19860
32323	9559	1994324	9602	19943
325	9712	20080
326	9830	20233
327	9902	20288
328	10014	20425
329	10082	20471
330	10142	20499
331	10196	20516
332	10255	20542
333	10388	20715
334	10473	20791
335	10655	21057
